Word,Drawing URL,Likes,Dislikes
apple,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fapple%2F2024-10-31T08-24-43-685Z_apple.png?alt=media&token=37fa6a67-64fe-4741-8a51-56f70937d2c1,0,0
apple,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fapple%2F2024-09-10T04-06-34-220Z_apple.png?alt=media&token=e1009449-3148-4408-9900-628c5d080553,0,0
balloon,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fballoon%2F2024-09-10T04-09-28-357Z_balloon.png?alt=media&token=123e0bad-6a88-4b5b-9cef-705930922a33,0,0
butterfly,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fbutterfly%2F2024-09-10T04-11-28-894Z_butterfly.png?alt=media&token=ae088863-3521-4d0a-9255-cc1c96ae7309,0,0
cactus,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fcactus%2F2024-09-10T04-07-17-954Z_cactus.png?alt=media&token=d49f7061-29e1-4923-99b6-30b25dc331c2,0,0
car,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fcar%2F2024-09-10T01-07-55-324Z_car.png?alt=media&token=bcfe1b9f-d107-4cf8-b16e-b24bf1bd0130,4,0
castle,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fcastle%2F2024-09-10T04-09-00-394Z_castle.png?alt=media&token=9a2fa094-61b6-4245-9212-6e92d200d0cc,1,0
guitar,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fguitar%2F2024-09-10T04-04-07-114Z_guitar.png?alt=media&token=66a634ef-7059-48ea-8e6e-b559c72cf14c,0,0
hamburger,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fhamburger%2F2024-09-10T04-03-12-926Z_hamburger.png?alt=media&token=76443366-c90e-43ee-88d4-1efb2ea723ed,0,0
igloo,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Figloo%2F2024-09-10T04-03-49-104Z_igloo.png?alt=media&token=62bdd575-7d35-43e7-8631-c74ae25bc3f3,0,0
kite,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fkite%2F2024-09-10T04-08-16-259Z_kite.png?alt=media&token=a6eee7b2-a1cf-4a3e-93f4-3ad564460951,0,0
magnet,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fmagnet%2F2024-09-10T04-05-40-644Z_magnet.png?alt=media&token=9b0740be-3ed2-489f-9149-3fab961ab1f7,0,0
penguin,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fpenguin%2F2024-09-10T04-05-08-183Z_penguin.png?alt=media&token=ef6b84a0-810c-4792-9b43-fc09076b18a2,0,0
pyramid,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fpyramid%2F2024-09-10T04-10-10-022Z_pyramid.png?alt=media&token=19d114b4-c7a1-4a44-ab7c-5c6f2c1df5de,0,0
volcano,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fvolcano%2F2024-09-09T23-36-50-748Z_volcano.png?alt=media&token=9801b51a-760e-4af9-b404-d6c6e3b98881,4,1
volleyball,https://firebasestorage.googleapis.com/v0/b/doodlle.appspot.com/o/doodles%2Fvolleyball%2F2024-09-10T04-06-11-142Z_volleyball.png?alt=media&token=012dbe4a-891c-44b8-af7b-742f9fd0f3fa,0,0
